id,temperature,humidity,gas_raw,co_ppm,,
1,33.86,44,24,0.0586,,
2,33.86,44,30,0.0733,,
3,33.86,44,38,0.0928,,
4,33.86,44,36,0.0879,,
5,33.86,44,33,0.0806,,
6,33.86,44,27,0.0659,,
7,33.86,44,36,0.0879,,
8,33.86,44,45,0.1099,,
9,33.86,44,33,0.0806,,
10,33.86,44,31,0.0757,,
11,33.86,44,29,0.0708,,
12,33.86,44,41,0.1001,,
13,33.86,44,43,0.105,,
14,33.86,44,68,0.1661,,
15,33.86,44,114,0.2784,,
16,33.86,44,149,0.3639,,
17,33.86,44,991,2.42,,
18,33.86,44,87,0.2125,,
19,33.86,44,50,0.1221,,
20,33.86,44,38,0.0928,,
21,33.86,44,37,0.0904,,
22,33.86,44,75,0.1832,,
23,33.86,44,77,0.188,,
24,33.86,44,76,0.1856,,
25,33.86,44,65,0.1587,,
26,33.86,44,93,0.2271,,
27,33.86,44,106,0.2589,,
28,33.86,44,117,0.2857,,
29,33.86,44,135,0.3297,,
30,33.86,44,48,0.1172,,
31,33.86,44,94,0.2295,,
32,33.86,44,127,0.3101,,
33,33.86,44,990,2.4176,,
34,33.86,44,99,0.2418,,
35,33.86,44,99,0.2418,,
36,33.86,44,84,0.2051,,
37,33.86,44,49,0.1197,,
38,33.86,44,43,0.105,,
39,33.86,44,43,0.105,,
40,33.86,44,42,0.1026,,
41,33.86,44,42,0.1026,,
42,33.86,44,42,0.1026,,
43,33.86,44,42,0.1026,,
44,33.86,44,42,0.1026,,
45,33.86,44,41,0.1001,,
46,33.86,44,33,0.0806,,
47,33.86,44,41,0.1001,,
48,33.86,44,33,0.0806,,
49,33.86,44,33,0.0806,,
50,33.86,44,33,0.0806,,
51,33.86,44,41,0.1001,,
52,33.86,44,41,0.1001,,
53,33.86,44,40,0.0977,,
54,33.86,44,31,0.0757,,
55,33.86,44,42,0.1026,,
56,33.86,44,41,0.1001,,
57,33.86,44,41,0.1001,,
58,33.86,44,31,0.0757,,
59,33.86,44,40,0.0977,,
